ID,발송일,"발송채널 (noti : 네이버앱, npay: 페이앱)",서비스명,발송 문구,발송회원수,클릭회원수,클릭율,클릭까지 소요된 평균 분(Minutes),ctr_quartile,tag_message_tone,tag_call_to_action,tag_offer_type,tag_target_emotion,tag_psychological_triggers,tag_trigger_count,tag_emoji_count,tag_has_question,tag_has_numbers,tag_has_percentage,tag_has_time_reference,tag_has_arrow,tag_has_exclamation,tag_word_count,tag_main_benefit,tag_benefit_clarity,tag_personalization_level,tag_sentence_type,tag_formality_level,tag_reading_ease
1426,2025.4.30,npay,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,19086,567,2.971,240.5890653,Q1,friendly,apply,event,excitement,"fomo,benefit",2,3,False,True,True,False,False,True,24,금리 0.5% 할인 및 네이버페이 포인트 제공,5,2,exclamatory,2,4
294,2024.4.8,noti,신용대출비교,(광고) 🎉 첫달 금리 혜택이 2 → 4%로 두 배 커졌대요.🎉 지금 살펴볼까요?,362846,19404,5.348,1177.369511,Q2,friendly,check_info,event,excitement,"fomo,curiosity,benefit",3,2,True,True,True,False,False,True,17,첫달 금리 혜택 증가,4,2,exclamatory,2,4
56,2024.1.23,noti,신용대환대출,(광고) 한도가 달라졌을까? 내 금리·한도 확인할 시간이에요👉 ,7300,591,8.096,15264.96785,Q3,friendly,check_info,limit_check,curiosity,"curiosity,urgency",2,1,True,False,False,True,True,True,12,한도 확인,4,3,interrogative,2,4
1357,2025.3.11,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,65699,8081,12.3,449.030813,Q4,friendly,apply,event,excitement,"fomo,benefit",2,3,False,True,True,False,False,True,24,금리 0.5% 할인 및 네이버페이 포인트,5,2,exclamatory,2,4
799,2024.7.31,noti,주택담보대출비교,(광고) 📬 7월 30일 주담대 갈아타기 최저금리는 3.25%예요. 🤔이제 국민은행도 비교할 수 있어요🚴,235451,9788,4.157,495.0156314,Q1,friendly,compare,refinancing,curiosity,"curiosity,benefit",2,3,True,True,True,True,False,False,19,최저금리 제공,4,2,declarative,2,4
116,2024.2.15,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,3142,240,7.638,3483.779167,Q3,persuasive,complete_action,report,curiosity,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,15,신용분석 리포트 제공,4,3,imperative,3,4
69,2024.1.25,noti,전월세대출비교 사전신청,곧 전월세대출도 갈아탈 수 있어요! 사전신청하고 낮은 금리로 대출 이사 준비🏋️,355903,21306,5.986,1120.085985,Q2,friendly,apply,refinancing,excitement,"fomo,benefit,urgency",3,1,False,False,False,True,False,True,18,낮은 금리 대출,4,2,exclamatory,2,4
587,2024.6.13,noti,신용대출비교,(광고) 마통 3 000만원 뚫으면  1만원 이자지원 받을 수 있대요. 🎉 ,14451,787,5.446,638.7052097,Q2,friendly,none,event,excitement,"benefit,curiosity",2,1,False,True,False,False,False,True,14,이자 지원,4,1,exclamatory,2,5
239,2024.3.25,noti,전월세대출비교,(광고) 전세대출 이자 부담된다면? 네이버페이에서 갈아타고 이자 아끼세요!,392466,68259,17.392,716.2773407,Q4,persuasive,apply,refinancing,hope,"benefit,curiosity",2,0,True,False,False,False,False,True,17,이자 절감,4,2,interrogative,3,4
1371,2025.3.18,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,288753,11426,3.957,98.90792928,Q1,friendly,apply,event,excitement,"fomo,benefit,curiosity",3,3,False,True,True,False,False,True,24,금리 0.5% 할인 및 네이버페이 포인트,5,2,exclamatory,2,4
1415,2025.4.23,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,364478,23370,6.412,474.4807445,Q2,friendly,apply,event,excitement,"fomo,benefit",2,3,False,True,True,False,False,True,25,금리 0.5% 할인 및 네이버페이 포인트,5,2,exclamatory,2,4
1417,2025.4.24,noti,주택담보대출비교,(광고) 공인중개사님  50만 네이버페이 포인트 받을 수 있는 테스트 참가자를 모집 중이에요 🎁,1003,130,12.961,449.2846154,Q4,friendly,apply,event,excitement,"fomo,benefit,curiosity",3,1,False,True,False,False,False,False,17,50만 네이버페이 포인트,5,3,declarative,2,4
715,2024.7.11,noti,신용대출비교,(광고) 🎉축하드려요! 역대급 혜택  첫달 금리 -6% 대상자에요.💸,277165,15318,5.527,648.5829743,Q2,friendly,none,event,excitement,"fomo,benefit,personalization",3,2,False,True,True,False,False,True,15,첫달 금리 -6%,5,4,exclamatory,2,5
1,2024.1.1,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,3203,570,17.796,6050.787719,Q4,persuasive,complete_action,report,hope,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,15,신용분석 리포트 수령,4,3,imperative,3,4
1387,2025.4.1,noti,신차리스,(광고) 초기 비용 저렴한 신차리스 지금 계약하면 한 달치 리스료 0원에 네이버페이 포인트 혜택까지!,434039,30608,7.052,477.7273589,Q3,persuasive,apply,event,excitement,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,22,한 달치 리스료 0원,5,1,exclamatory,2,4
430,2024.5.10,noti,신용대출비교,(광고) 🎉 축하드려요. 💸 혜택 두배  첫달 금리 4% 혜택 대상자에요.,328824,54602,16.605,7205.324787,Q4,friendly,none,event,excitement,"benefit,personalization",2,3,False,True,True,False,False,True,14,첫달 금리 4% 혜택,4,5,exclamatory,2,4
342,2024.4.22,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,1006,81,8.052,1424.012346,Q3,persuasive,complete_action,report,hope,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,15,신용분석 리포트 제공,4,3,imperative,3,4
1085,2024.10.18,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,6650,360,5.414,569.2861111,Q2,friendly,check_info,limit_check,curiosity,curiosity,1,1,True,False,False,False,True,False,10,금리 한도 확인,4,2,interrogative,2,4
1277,2025.1.7,noti,신차리스,(광고) 초기 비용 저렴한 신차리스 🚘 2천만원 차량 리스 시 네이버페이 포인트 10만원 지급까지 🎁,65711,3531,5.374,321.0965732,Q2,persuasive,apply,event,excitement,"benefit,curiosity",2,2,False,True,False,False,False,False,22,네이버페이 포인트 지급,4,2,declarative,2,4
1389,2025.4.2,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,369423,24854,6.728,518.8462219,Q2,friendly,apply,event,excitement,"fomo,benefit",2,3,False,True,True,False,False,True,25,금리 0.5% 할인 및 네이버페이 포인트,5,2,exclamatory,2,4
861,2024.8.16,noti,신용대환대출,(광고) 첫달 금리 최대 -6% 혜택 대상자입니다. 혜택 확인해보시겠어요? ,1210,153,12.645,687.2026144,Q4,persuasive,check_info,event,curiosity,"fomo,curiosity,benefit",3,0,True,True,True,False,False,False,15,금리 인하,4,3,interrogative,3,4
1464,2025.6.11,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,133481,14186,10.628,450.1774285,Q4,friendly,apply,event,excitement,"fomo,benefit,curiosity",3,3,False,True,True,False,False,True,24,금리 0.5% 할인 및 네이버페이 포인트 제공,5,2,exclamatory,2,4
938,2024.9.5,noti,신용대출비교,(광고) 벌써 천 만명이 다녀갔대요.🙌 최대 한도 확인하고 최대 15만원 이자 지원받기 👉,187095,7274,3.888,620.81427,Q1,friendly,check_info,event,excitement,"fomo,benefit,social_proof",3,1,False,True,False,False,True,True,18,최대 15만원 이자 지원,4,2,exclamatory,2,4
1413,2025.4.21,npay,신용점수조회,(광고) 천만명이 좋아하는 금융관리 💚 신용점수 관리는 네이버페이 👉🏻,499609,4648,0.93,236.9832186,Q1,friendly,check_info,report,trust,"social_proof,benefit",2,1,False,True,False,False,True,False,12,신용점수 관리,4,3,declarative,2,4
1289,2025.1.14,noti,신차리스,(광고) 차량 관리 걱정 없는 신차리스 🚘 2천만원 차량 리스 시 네이버페이 포인트 10만원 지급까지 🎁,101344,9324,9.2,388.7247962,Q3,friendly,apply,event,excitement,"benefit,curiosity",2,2,False,True,False,False,False,True,20,네이버페이 포인트 지급,4,2,declarative,2,4
347,2024.4.22,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,4414,270,6.117,1068.57037,Q2,friendly,check_info,limit_check,curiosity,curiosity,1,1,True,False,False,False,True,False,10,금리 한도 확인,4,2,interrogative,2,4
1365,2025.3.13,noti,신차리스,(광고) 초기 비용 저렴한 신차리스 🚘 3천만원 차량 리스하면 네이버페이 포인트 15만원 지급까지 🎁,162784,19049,11.702,519.5748858,Q4,persuasive,apply,event,excitement,"fomo,benefit",2,2,False,True,False,False,False,False,22,네이버페이 포인트 지급,5,1,declarative,2,4
805,2024.7.31,noti,전월세대출비교,(광고) 📬7월 30일 최저금리는 3.13%예요🧐주택담보대출부터 전세대출까지 2분 만에 한도 조회 GO 🚴,774182,69599,8.99,484.0806764,Q3,informative,check_info,rate_check,curiosity,"fomo,curiosity,benefit,urgency,simplicity",5,2,False,True,True,True,False,True,22,최저금리 제공,4,2,declarative,3,4
396,2024.5.1,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,3071,577,18.789,2371.582322,Q4,persuasive,complete_action,report,hope,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,16,신용분석 리포트 제공,4,3,imperative,3,4
1064,2024.10.11,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2024년 나의 신용분석 리포트 받으세요!,1593,188,11.802,489.1223404,Q4,persuasive,complete_action,report,hope,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,15,신용분석 리포트 제공,4,3,imperative,3,4
49,2024.1.19,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요! ,2546,246,9.662,4008.565041,Q3,persuasive,complete_action,report,curiosity,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,15,신용분석 리포트 제공,4,3,imperative,3,4
1492,2025.6.25,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,348494,18098,5.193,490.1988065,Q2,friendly,apply,event,excitement,"fomo,benefit",2,3,False,True,True,False,False,True,25,금리 0.5% 할인 및 네이버페이 포인트,5,3,declarative,2,4
1366,2025.3.14,noti,전월세대출비교,(광고) 📬 이제 전세대출도 꼭 비교해보세요 🤔 3월 14일 최저금리는 3.29%예요🚴‍♀️,96019,10427,10.859,304.7673348,Q4,friendly,compare,comparison,curiosity,"fomo,curiosity,benefit",3,3,True,True,True,True,False,False,15,최저금리 확인,4,2,imperative,2,4
1431,2025.5.9,noti,전월세대출비교,(광고) 📬 이제 전세대출도 꼭 비교해보세요 🤔 5월 08일 최저금리는 3.01%예요🚴‍♀️,172463,11081,6.425,447.6449779,Q2,friendly,compare,comparison,curiosity,"fomo,curiosity,benefit",3,3,True,True,True,True,False,False,15,최저금리 확인,4,2,imperative,2,4
1437,2025.5.15,noti,주택담보대출비교,(광고) 주택을 보유하고 있다면 주택담보대출도 비교해보세요. 5월 14일 주택담보대출 최저금리는 2.86%에요.,159611,12984,8.135,389.9811306,Q3,informative,compare,rate_check,curiosity,"fomo,benefit,urgency",3,0,False,True,True,True,False,False,22,최저금리 확인,4,2,declarative,3,4
650,2024.6.25,noti,주택담보대출비교,"(광고)  6월 24일 주담대 최저금리는 3.34%예요.🤔 ""나는 얼마나 아낄수 있을까?"" 🧐 2분 만에 한도 조회 GO 🚴‍♀️",424439,23221,5.471,509.1258774,Q2,friendly,check_info,rate_check,curiosity,"curiosity,benefit",2,3,True,True,True,True,False,False,20,최저금리 안내,4,2,interrogative,2,4
76,2024.1.30,noti,전월세대출비교 사전신청,⌛사전신청 마지막날! 전월세대출 이자 줄이고 1️⃣천원도 받자>,977134,55727,5.703,764.4473056,Q2,urgent,apply,event,excitement,"fomo,urgency,benefit",3,3,False,True,False,True,True,True,14,이자 절감 및 현금 지원,4,2,exclamatory,2,4
1373,2025.3.20,noti,신차리스,(광고) 초기 비용 저렴한 신차리스 지금 계약하면 한 달치 리스료 0원에 네이버페이 포인트 혜택까지!,36102,5121,14.185,465.9632884,Q4,persuasive,apply,event,excitement,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,22,한 달치 리스료 0원,5,1,exclamatory,2,4
691,2024.7.4,noti,신용대출비교,(광고) 🎉축하드려요! 역대급 혜택  첫달 금리 -6% 대상자에요.💸,351564,17311,4.924,545.3527815,Q2,friendly,none,event,excitement,"benefit,personalization,excitement",3,2,False,True,True,False,False,True,14,첫달 금리 -6%,5,5,exclamatory,2,5
1283,2025.1.13,noti,신용점수조회,(광고) 새해 내 첫 점수는? 👀 2025년 내 신용점수 1초만에 확인 👉🏻,283707,8705,3.068,504.0011488,Q1,friendly,click_now,report,curiosity,"curiosity,benefit",2,2,True,True,False,True,True,False,15,신용점수 확인,4,3,interrogative,2,4
63,2024.1.23,noti,주택담보대출비교,첫 한도조회 시  최대 5️⃣천원 뽑기 진행 중! 랭킹 이벤트에도 자동 참여돼요,590629,79953,13.537,963.6266306,Q4,friendly,none,event,excitement,"fomo,benefit,curiosity",3,1,False,True,False,False,False,True,18,최대 5천원 뽑기,4,2,declarative,2,4
1197,2024.11.18,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,17153,1106,6.448,813.7685353,Q2,urgent,click_now,new_loan,excitement,"fomo,urgency,benefit",3,1,False,False,False,True,True,True,12,더 싼 대출,4,2,exclamatory,2,4
1461,2025.6.5,noti,주택담보대출비교,(광고) 사장님! 케이뱅크에서 최저 연 2%대로 대출 갈아타고 대환지원금도 받아 보세요! (연 2.87% ~ 9.70%  25.05.12 기준) 🎁,222139,7030,3.165,710.8042674,Q1,persuasive,apply,refinancing,hope,"benefit,urgency",2,1,False,True,True,True,False,True,22,최저 연 2%대 대출,4,2,exclamatory,3,4
330,2024.4.17,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,6232,245,3.931,1322.795918,Q1,friendly,check_info,limit_check,curiosity,curiosity,1,1,True,False,False,False,True,False,10,금리 한도 확인,4,2,interrogative,2,4
1385,2025.3.28,noti,전월세대출비교,(광고) 📬 이제 전세대출도 꼭 비교해보세요 🤔 3월 28일 최저금리는 3.30%예요🚴‍♀️,79939,4689,5.866,310.7242482,Q2,friendly,compare,comparison,curiosity,"fomo,curiosity,benefit",3,3,True,True,True,True,False,False,16,최저금리 확인,4,2,imperative,2,4
1327,2025.2.13,noti,신차리스,(광고) 초기 비용 저렴한 신차리스 🚘 2천만원 차량 리스 시 네이버페이 포인트 10만원 지급까지 🎁,111410,6467,5.805,736.4292562,Q2,persuasive,apply,event,excitement,"benefit,curiosity",2,2,False,True,False,False,False,False,22,네이버페이 포인트 지급,4,2,declarative,2,4
1356,2025.3.11,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,265911,14089,5.298,441.2645326,Q2,friendly,apply,event,excitement,"fomo,benefit",2,3,False,True,True,False,False,True,24,금리 0.5% 할인 및 네이버페이 포인트,5,2,exclamatory,2,4
535,2024.6.5,noti,신용대출비교,(광고) 🎉 축하드려요. 💸 혜택 두배  첫달 금리 4% 혜택 대상자에요.,59787,1056,1.766,2365.186553,Q1,friendly,none,event,excitement,"benefit,personalization",2,3,False,True,True,False,False,True,14,첫달 금리 4% 혜택,4,5,exclamatory,2,4
389,2024.4.30,noti,주택담보대출비교,4월  씨티은행 주담대 갈아타면💞 5만원  🏠 우리집 등록하면 또 5만원!,842,35,4.157,350.5714286,Q1,friendly,apply,refinancing,excitement,"benefit,personalization",2,2,False,True,False,True,False,False,18,5만원 혜택,5,4,declarative,2,5
719,2024.7.12,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,1524,275,18.045,1022.716364,Q4,persuasive,complete_action,report,hope,"fomo,benefit,urgency",3,0,False,True,False,True,False,True,16,신용분석 리포트 제공,4,3,imperative,3,4
903,2024.8.28,noti,전월세대출비교,(광고) 📬8월 26일 최저금리는 3.56%예요🧐주택담보대출부터 전세대출까지 2분 만에 한도 조회 GO 🚴‍♀️,190343,8454,4.441,416.6988408,Q1,friendly,check_info,rate_check,excitement,"fomo,curiosity,benefit,urgency",4,3,False,True,True,True,True,True,22,최저금리 제공,4,2,exclamatory,2,4
711,2024.7.10,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,23741,3043,12.817,670.6431153,Q4,urgent,click_now,new_loan,excitement,"fomo,curiosity,urgency",3,1,False,False,False,True,True,True,12,더 싼 대출,4,2,exclamatory,2,4
1107,2024.10.28,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,7489,317,4.233,423.2208202,Q1,friendly,check_info,limit_check,curiosity,curiosity,1,1,True,False,False,False,True,False,10,금리 한도 확인,4,2,interrogative,2,4
1451,2025.5.28,noti,중고차론,(광고) 현대캐피탈xNpay 더블 혜택 🚘 중고차 구매 고민 중이시라면 🎁 금리 0.5% 할인 받고 네이버페이 포인트도 받아 가세요,643204,28684,4.46,377.1046576,Q1,friendly,apply,event,excitement,"fomo,benefit",2,3,False,True,True,False,False,True,24,금리 0.5% 할인 및 네이버페이 포인트,5,2,exclamatory,2,4
148,2024.2.26,noti,신용대출비교,(광고) 🎉 축하합니다! 첫 달 이자지원금 적립! 받은 만큼 한번 더 적립 받으세요 👉 >,4750,710,14.947,1952.225352,Q4,friendly,click_now,event,excitement,"fomo,benefit,curiosity",3,1,False,True,False,False,True,True,15,첫 달 이자지원금 적립,4,2,exclamatory,2,4
132,2024.2.20,noti,전월세대출비교,아직 1️⃣천원 못받으셨나요? 지금 조회하고 받아보세요 >,38444,6461,16.806,480.2734871,Q4,friendly,check_info,limit_check,curiosity,"fomo,curiosity,benefit",3,1,True,True,False,False,True,False,10,대출 한도 확인,4,2,interrogative,2,4
19,2024.1.5,noti,주택담보대출비교,(광고)⌛사전신청 마감임박! 주담대 이자 줄이고 최대 1️⃣만원도 받자> ,676488,43835,6.48,1169.205521,Q2,urgent,apply,event,excitement,"fomo,benefit,urgency",3,3,False,True,False,True,True,True,14,이자 줄이기 및 최대 1만원 혜택,4,2,exclamatory,2,4
876,2024.8.21,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,24644,2561,10.392,597.3775869,Q3,urgent,click_now,new_loan,excitement,"fomo,curiosity,urgency",3,1,False,False,False,True,True,True,12,더 싼 대출,4,2,exclamatory,2,4
60,2024.1.23,noti,전월세대출비교 사전신청,곧 전월세대출도 갈아탈 수 있어요! 사전신청하고 낮은 금리로 대출 이사 준비🏋️,301544,16270,5.396,852.1451752,Q2,friendly,apply,refinancing,excitement,"fomo,benefit,urgency",3,1,False,False,False,True,False,True,17,낮은 금리 대출,4,2,exclamatory,2,4
443,2024.5.16,noti,신용대출비교,(광고) 🎉 축하드려요. 💸 혜택 두배  첫달 금리 4% 혜택 대상자에요.,326159,28213,8.65,4053.536384,Q3,friendly,none,event,excitement,"benefit,personalization",2,2,False,True,True,False,False,True,14,첫달 금리 4%,4,5,exclamatory,2,5
1126,2024.10.31,noti,신용점수조회,(광고) 5OO원 받아가세요! 신용점수 처음 보시면 바로 받을 수 있어요❤️,254853,13500,5.297,536.6022222,Q2,friendly,apply,event,excitement,"benefit,curiosity,personalization",3,1,False,True,False,False,False,True,14,5OO원 혜택,4,3,exclamatory,2,4
503,2024.5.30,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,24833,2310,9.302,1970.237229,Q3,urgent,click_now,new_loan,excitement,"fomo,urgency,benefit",3,1,False,False,False,True,True,True,12,더 싼 대출,4,2,exclamatory,2,4
484,2024.5.27,noti,신용대출비교,(광고) 🎉 축하드려요. 💸 혜택 두배  첫달 금리 4% 혜택 대상자에요.,269213,32136,11.937,3179.926562,Q4,friendly,none,event,excitement,"benefit,personalization",2,3,False,True,True,False,False,True,14,첫달 금리 4% 혜택,4,5,exclamatory,2,4
1057,2024.10.9,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,6855,339,4.945,524.0855457,Q2,friendly,check_info,limit_check,curiosity,"curiosity,urgency",2,1,True,False,False,False,True,False,10,금리 한도 확인,4,2,interrogative,2,4
1316,2025.2.7,noti,전월세대출비교,(광고) 📬 이제 전세대출도 꼭 비교해보세요 🤔 2월 6일 최저금리는 3.31%예요🚴‍♀️,13335,525,3.937,447.1409524,Q1,friendly,compare,comparison,curiosity,"curiosity,benefit",2,3,True,True,True,True,False,False,15,최저금리 확인,4,2,imperative,2,4
